block,layer,position,prompt,rank_intermediate,rank_answer
ic,0,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8140,13080
ic,0,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,22365,9476
ic,0,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,33729,49271
ic,0,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,40123,32046
ic,0,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,45204,37224
ic,0,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,34217,45944
ic,1,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,13429,14045
ic,1,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,45274,21885
ic,1,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,75734,72682
ic,1,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,55883,47449
ic,1,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,89729,67092
ic,1,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,46053,51658
ic,2,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,11652,11153
ic,2,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,111253,61601
ic,2,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,121968,115137
ic,2,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,116185,101138
ic,2,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,109243,88848
ic,2,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,107430,107841
ic,3,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1025,878
ic,3,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,17480,4568
ic,3,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,61949,40424
ic,3,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,23390,12765
ic,3,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,23486,10209
ic,3,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,18995,18585
ic,4,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,5268,6693
ic,4,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,127050,91536
ic,4,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,134288,123955
ic,4,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,100326,93495
ic,4,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,128979,113059
ic,4,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,97570,91615
ic,5,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2916,4148
ic,5,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,82208,41482
ic,5,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,119448,108362
ic,5,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,95440,93118
ic,5,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,61297,46019
ic,5,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,49007,47676
ic,6,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3665,8532
ic,6,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,105682,73642
ic,6,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,117393,110907
ic,6,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,115549,111828
ic,6,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,105642,82410
ic,6,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,21140,27256
ic,7,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,7257,13103
ic,7,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,85288,66583
ic,7,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,108668,102985
ic,7,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,75086,65537
ic,7,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,82932,70558
ic,7,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,24779,27267
ic,8,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,79223,83406
ic,8,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,112242,86592
ic,8,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,107589,104429
ic,8,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,120017,120040
ic,8,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,114974,102019
ic,8,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,72791,99942
ic,9,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,57909,67323
ic,9,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,120395,93567
ic,9,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,107161,101606
ic,9,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,115664,116800
ic,9,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,78278,62462
