block,layer,position,prompt,rank_intermediate,rank_answer
C,0,10,What is the capital of the rival of the rival of Vuzanyel?,3777,1158
C,0,11,What is the capital of the rival of the rival of Vuzanyel?,8325,11436
C,0,12,What is the capital of the rival of the rival of Vuzanyel?,32767,20379
C,0,13,What is the capital of the rival of the rival of Vuzanyel?,133471,45163
C,0,14,What is the capital of the rival of the rival of Vuzanyel?,32920,64333
C,0,15,What is the capital of the rival of the rival of Vuzanyel?,137971,128316
C,1,10,What is the capital of the rival of the rival of Vuzanyel?,4912,243
C,1,11,What is the capital of the rival of the rival of Vuzanyel?,11677,2049
C,1,12,What is the capital of the rival of the rival of Vuzanyel?,81287,5730
C,1,13,What is the capital of the rival of the rival of Vuzanyel?,139650,71588
C,1,14,What is the capital of the rival of the rival of Vuzanyel?,66644,117756
C,1,15,What is the capital of the rival of the rival of Vuzanyel?,140262,114380
C,2,10,What is the capital of the rival of the rival of Vuzanyel?,7477,221
C,2,11,What is the capital of the rival of the rival of Vuzanyel?,12413,1861
C,2,12,What is the capital of the rival of the rival of Vuzanyel?,117647,7547
C,2,13,What is the capital of the rival of the rival of Vuzanyel?,113623,46858
C,2,14,What is the capital of the rival of the rival of Vuzanyel?,75394,91125
C,2,15,What is the capital of the rival of the rival of Vuzanyel?,142410,134649
C,3,10,What is the capital of the rival of the rival of Vuzanyel?,6452,132
C,3,11,What is the capital of the rival of the rival of Vuzanyel?,11142,176
C,3,12,What is the capital of the rival of the rival of Vuzanyel?,83383,452
C,3,13,What is the capital of the rival of the rival of Vuzanyel?,89419,5521
C,3,14,What is the capital of the rival of the rival of Vuzanyel?,60075,20675
C,3,15,What is the capital of the rival of the rival of Vuzanyel?,139323,72887
C,4,10,What is the capital of the rival of the rival of Vuzanyel?,5771,174
C,4,11,What is the capital of the rival of the rival of Vuzanyel?,16148,334
C,4,12,What is the capital of the rival of the rival of Vuzanyel?,96278,1352
C,4,13,What is the capital of the rival of the rival of Vuzanyel?,77654,23318
C,4,14,What is the capital of the rival of the rival of Vuzanyel?,66717,64514
C,4,15,What is the capital of the rival of the rival of Vuzanyel?,140314,76718
C,5,10,What is the capital of the rival of the rival of Vuzanyel?,9423,313
C,5,11,What is the capital of the rival of the rival of Vuzanyel?,29581,710
C,5,12,What is the capital of the rival of the rival of Vuzanyel?,131151,3890
C,5,13,What is the capital of the rival of the rival of Vuzanyel?,123880,62612
C,5,14,What is the capital of the rival of the rival of Vuzanyel?,117507,92723
C,5,15,What is the capital of the rival of the rival of Vuzanyel?,147234,77588
C,6,10,What is the capital of the rival of the rival of Vuzanyel?,6359,156
C,6,11,What is the capital of the rival of the rival of Vuzanyel?,26791,402
C,6,12,What is the capital of the rival of the rival of Vuzanyel?,116732,1005
C,6,13,What is the capital of the rival of the rival of Vuzanyel?,132567,42456
C,6,14,What is the capital of the rival of the rival of Vuzanyel?,120487,79540
C,6,15,What is the capital of the rival of the rival of Vuzanyel?,142795,28460
C,7,10,What is the capital of the rival of the rival of Vuzanyel?,11959,565
C,7,11,What is the capital of the rival of the rival of Vuzanyel?,40482,650
C,7,12,What is the capital of the rival of the rival of Vuzanyel?,120793,1575
C,7,13,What is the capital of the rival of the rival of Vuzanyel?,132338,44532
C,7,14,What is the capital of the rival of the rival of Vuzanyel?,123546,75331
C,7,15,What is the capital of the rival of the rival of Vuzanyel?,144144,39348
C,8,10,What is the capital of the rival of the rival of Vuzanyel?,8159,492
C,8,11,What is the capital of the rival of the rival of Vuzanyel?,39754,666
C,8,12,What is the capital of the rival of the rival of Vuzanyel?,131434,5296
C,8,13,What is the capital of the rival of the rival of Vuzanyel?,138237,43402
C,8,14,What is the capital of the rival of the rival of Vuzanyel?,129780,84725
C,8,15,What is the capital of the rival of the rival of Vuzanyel?,140751,45485
C,9,10,What is the capital of the rival of the rival of Vuzanyel?,6151,346
C,9,11,What is the capital of the rival of the rival of Vuzanyel?,54751,1322
C,9,12,What is the capital of the rival of the rival of Vuzanyel?,140931,11062
C,9,13,What is the capital of the rival of the rival of Vuzanyel?,134411,47695
C,9,14,What is the capital of the rival of the rival of Vuzanyel?,125014,83708
C,9,15,What is the capital of the rival of the rival of Vuzanyel?,137647,91509
C,10,10,What is the capital of the rival of the rival of Vuzanyel?,8607,521
C,10,11,What is the capital of the rival of the rival of Vuzanyel?,91708,7873
C,10,12,What is the capital of the rival of the rival of Vuzanyel?,149138,77300
C,10,13,What is the capital of the rival of the rival of Vuzanyel?,145649,84257
C,10,14,What is the capital of the rival of the rival of Vuzanyel?,141807,114156
C,10,15,What is the capital of the rival of the rival of Vuzanyel?,149245,124378
C,11,10,What is the capital of the rival of the rival of Vuzanyel?,9056,215
C,11,11,What is the capital of the rival of the rival of Vuzanyel?,92362,5869
C,11,12,What is the capital of the rival of the rival of Vuzanyel?,150920,71535
C,11,13,What is the capital of the rival of the rival of Vuzanyel?,146554,55232
C,11,14,What is the capital of the rival of the rival of Vuzanyel?,140390,73989
C,11,15,What is the capital of the rival of the rival of Vuzanyel?,149872,112533
C,12,10,What is the capital of the rival of the rival of Vuzanyel?,4776,175
C,12,11,What is the capital of the rival of the rival of Vuzanyel?,56401,7149
C,12,12,What is the capital of the rival of the rival of Vuzanyel?,150871,58066
C,12,13,What is the capital of the rival of the rival of Vuzanyel?,146241,54148
C,12,14,What is the capital of the rival of the rival of Vuzanyel?,140619,97040
C,12,15,What is the capital of the rival of the rival of Vuzanyel?,131341,97438
C,13,10,What is the capital of the rival of the rival of Vuzanyel?,2339,79
C,13,11,What is the capital of the rival of the rival of Vuzanyel?,43886,7775
C,13,12,What is the capital of the rival of the rival of Vuzanyel?,149283,62962
C,13,13,What is the capital of the rival of the rival of Vuzanyel?,140098,44212
C,13,14,What is the capital of the rival of the rival of Vuzanyel?,130718,93797
C,13,15,What is the capital of the rival of the rival of Vuzanyel?,140613,139652
C,14,10,What is the capital of the rival of the rival of Vuzanyel?,1266,114
C,14,11,What is the capital of the rival of the rival of Vuzanyel?,41287,12686
C,14,12,What is the capital of the rival of the rival of Vuzanyel?,147138,44929
C,14,13,What is the capital of the rival of the rival of Vuzanyel?,140733,79651
C,14,14,What is the capital of the rival of the rival of Vuzanyel?,130330,116269
C,14,15,What is the capital of the rival of the rival of Vuzanyel?,142139,148555
C,15,10,What is the capital of the rival of the rival of Vuzanyel?,510,600
C,15,11,What is the capital of the rival of the rival of Vuzanyel?,29608,5886
C,15,12,What is the capital of the rival of the rival of Vuzanyel?,145455,71890
C,15,13,What is the capital of the rival of the rival of Vuzanyel?,144008,126866
C,15,14,What is the capital of the rival of the rival of Vuzanyel?,138689,139580
C,15,15,What is the capital of the rival of the rival of Vuzanyel?,129274,143908
C,16,10,What is the capital of the rival of the rival of Vuzanyel?,422,302
C,16,11,What is the capital of the rival of the rival of Vuzanyel?,39785,16230
C,16,12,What is the capital of the rival of the rival of Vuzanyel?,147046,109222
C,16,13,What is the capital of the rival of the rival of Vuzanyel?,144692,146954
C,16,14,What is the capital of the rival of the rival of Vuzanyel?,130310,147901
C,16,15,What is the capital of the rival of the rival of Vuzanyel?,129021,140154
C,17,10,What is the capital of the rival of the rival of Vuzanyel?,194,738
C,17,11,What is the capital of the rival of the rival of Vuzanyel?,35390,9540
